time_utc,time_scada,lead_hours,prediction,level1,residual_pred,wind_fc,temp_fc,run_day,p10,p90,turbine_id,issue_time_utc,issue_time_scada,model_version
2026-02-15 18:00:00,2026-02-16 00:00:00,1,0.6431270191050906,0.23430734117827776,0.40881967792681284,5.465,2.05,1.0,0.14804554274570886,0.9697489639579258,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-15 19:00:00,2026-02-16 01:00:00,2,0.6487694090232291,0.25327074120344095,0.39549866781978815,5.609999999999999,2.05,1.0,0.17155949996583286,0.9730979448856486,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-15 20:00:00,2026-02-16 02:00:00,3,0.654991620474053,0.31404196765344883,0.3409496528206042,6.07,1.9,1.0,0.18188744966617876,0.9838121712403424,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-15 21:00:00,2026-02-16 03:00:00,4,0.6500278655124894,0.3458531901438847,0.30417467536860465,6.305,1.7999999999999998,1.0,0.16132573099205855,0.9897163698148175,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-15 22:00:00,2026-02-16 04:00:00,5,0.6608799823385779,0.3831530929272276,0.2777268894113503,6.52,1.6,1.0,0.18153470515339304,0.9809334289378349,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-15 23:00:00,2026-02-16 05:00:00,6,0.7475414538103247,0.4054777678385592,0.34206368597176545,6.65,1.65,1.0,0.18808690626610958,0.9845941530086553,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 00:00:00,2026-02-16 06:00:00,7,0.7616720505730525,0.4224915199795752,0.33918053059347736,6.75,1.8,1.0,0.18107113074272085,0.9840499496004097,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 01:00:00,2026-02-16 07:00:00,8,0.757150137104476,0.4415903088736633,0.3155598282308127,6.845,1.7000000000000002,1.0,0.1772658869028031,0.9803918428467561,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 02:00:00,2026-02-16 08:00:00,9,0.7758078273967113,0.4125305329530631,0.3632772944436482,6.695,2.1500000000000004,1.0,0.17669529907989057,0.981777187336246,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 03:00:00,2026-02-16 09:00:00,10,0.7370804403489919,0.4273474351049741,0.3097330052440178,6.795,3.85,1.0,0.16036362664728465,0.9723140385499779,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 04:00:00,2026-02-16 10:00:00,11,0.746056764783082,0.3670056425398336,0.37905112224324844,6.46,5.95,1.0,0.14525177626401242,0.9798328782167001,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 05:00:00,2026-02-16 11:00:00,12,0.86458994051333,0.36423985417938154,0.5003500863339485,6.455,7.4,1.0,0.23003033531133277,0.9904810169989041,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 06:00:00,2026-02-16 12:00:00,13,0.921918909644837,0.5359310606233112,0.38598784902152583,7.33,8.55,1.0,0.25227832864056,0.990016956877931,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 07:00:00,2026-02-16 13:00:00,14,0.9082494600724405,0.5483488019399595,0.35990065813248096,7.404999999999999,9.399999999999999,1.0,0.22474031795764782,0.9871060888060517,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 08:00:00,2026-02-16 14:00:00,15,0.9049807113844643,0.44644445598198806,0.4585362554024763,6.93,9.35,1.0,0.22161282075747712,0.983773262343014,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 09:00:00,2026-02-16 15:00:00,16,0.8780674442920673,0.3084122584514848,0.5696551858405825,6.08,9.149999999999999,1.0,0.16836023061172456,0.9937228112544041,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 10:00:00,2026-02-16 16:00:00,17,0.8083494978287948,0.21886920509197344,0.5894802927368215,5.39,8.75,1.0,0.11923069717326462,0.9860769526539718,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 11:00:00,2026-02-16 17:00:00,18,0.7583506215764924,0.3085222319430955,0.44982838963339683,6.0649999999999995,6.95,1.0,0.1541944041381086,0.9996861835859165,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 12:00:00,2026-02-16 18:00:00,19,0.667493904774547,0.3341207269054275,0.33337317786911946,6.24,4.35,2.0,0.12134297442933895,0.9852076454586227,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 13:00:00,2026-02-16 19:00:00,20,0.6930141792925476,0.30012608641777766,0.39288809287476995,5.970000000000001,2.6,2.0,0.12562177848699452,0.9957207557376364,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 14:00:00,2026-02-16 20:00:00,21,0.6874721728459008,0.40161743725747934,0.28585473558842145,6.63,1.9500000000000002,2.0,0.11329601288713376,0.9817045733470469,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 15:00:00,2026-02-16 21:00:00,22,0.7372518658443976,0.5051274634982129,0.2321244023461847,7.13,1.55,2.0,0.14582768501496102,0.994329857475128,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 16:00:00,2026-02-16 22:00:00,23,0.7070817288211333,0.508406270027121,0.19867545879401227,7.140000000000001,1.0,2.0,0.13272890829219253,0.9959395358869056,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 17:00:00,2026-02-16 23:00:00,24,0.6678818418716026,0.40745360369968997,0.26042823817191263,6.655,0.85,2.0,0.1548625334638517,0.9962805004278756,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 18:00:00,2026-02-17 00:00:00,25,0.5858101084668297,0.3335859094672,0.25222419899962967,6.21,0.9,2.0,0.14304774922364133,0.9640383505178511,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 19:00:00,2026-02-17 01:00:00,26,0.5600943318754347,0.32445095482817166,0.23564337704726301,6.14,0.75,2.0,0.14623919375554778,0.9534614162930461,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 20:00:00,2026-02-17 02:00:00,27,0.488342444730835,0.3379171906781136,0.1504252540527214,6.24,0.55,2.0,0.10320725986371881,0.9401552084967009,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 21:00:00,2026-02-17 03:00:00,28,0.43184087256519743,0.3155089330800764,0.11633193948512105,6.07,0.4,2.0,0.07417941898325608,0.9385783951150063,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 22:00:00,2026-02-17 04:00:00,29,0.32316491177735085,0.30280552586024034,0.020359385917110506,5.975,0.5,2.0,0.05246468318127345,0.8877013342067901,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-16 23:00:00,2026-02-17 05:00:00,30,0.18493131780440913,0.26824666075893533,-0.0833153429545262,5.720000000000001,1.4000000000000001,2.0,0.014028135102821887,0.6971818979319544,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-17 00:00:00,2026-02-17 06:00:00,31,0.09570909248946066,0.22759676437215537,-0.1318876718826947,5.415,2.25,2.0,0.007350181106065515,0.5497885864437727,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-17 01:00:00,2026-02-17 07:00:00,32,0.0571287512557099,0.17240144822760434,-0.11527269697189443,4.88,2.3499999999999996,2.0,0.009214120132320695,0.47377616050692195,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-17 02:00:00,2026-02-17 08:00:00,33,0.06257484176296746,0.08671082377021536,-0.024135982007247897,3.8449999999999998,2.4,2.0,0.01211566806116613,0.4215081537009041,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-17 03:00:00,2026-02-17 09:00:00,34,0.0947141099016133,0.07175409130025492,0.02296001860135838,3.545,2.7,2.0,0.006683858730192005,0.38077398172065635,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-17 04:00:00,2026-02-17 10:00:00,35,0.12495148017515909,0.10680956013874215,0.01814192003641693,4.255,3.4,2.0,0.00573099059799724,0.48521070970243474,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-17 05:00:00,2026-02-17 11:00:00,36,0.14524006805001172,0.10767953476389434,0.03756053328611737,4.279999999999999,4.85,2.0,0.0041552149943904215,0.590902204296663,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-17 06:00:00,2026-02-17 12:00:00,37,0.19335389015750964,0.10052932910754606,0.09282456104996359,4.140000000000001,5.75,2.0,0.0001416080292123978,0.6784310268803526,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
2026-02-17 07:00:00,2026-02-17 13:00:00,38,0.2561727662952362,0.10200031391587244,0.15417245237936378,4.17,5.8,2.0,0.000917113622689536,0.7191969858669965,2,2026-02-15 17:00:00,2026-02-15 23:00:00,t2-combined-3d2333d167
